Political Party,Percentage of Vote
Conservative Party,36.8
Labour Party,30.4
Liberal Democrats,7.9
Democratic Unionist Party,0.6
Scottish National Party,4.7
Sinn Féin,0.6
Plaid Cymru,0.6
Green Party,3.8
Other,14.6
