Political Party,Percentage of Vote
Conservative Party,48.8
Labour Party,40.3
Liberal Democrats,1.8
Democratic Unionist Party,1.5
Scottish National Party,5.4
Sinn Féin,1.1
Plaid Cymru,0.6
Green Party,0.2
Other,0.3
